media,frequencia,trabalhos_entregues,historico_reprovacao,risco
3.6,73,2,0,alto
9.6,52,5,1,alto
10.0,72,1,0,moderado
7.7,67,1,1,alto
3.1,90,0,0,alto
6.9,93,1,1,alto
7.1,87,0,0,moderado
3.9,51,3,0,alto
6.4,92,2,0,moderado
0.1,69,2,1,alto
2.1,70,4,1,alto
5.3,97,3,1,moderado
1.6,93,0,1,alto
1.7,52,2,0,alto
8.4,67,1,1,alto
9.9,87,4,1,baixo
5.6,76,1,1,alto
8.4,62,0,1,alto
9.9,76,4,1,baixo
1.4,93,2,1,alto
4.5,61,0,1,alto
3.9,87,4,0,alto
0.8,86,1,1,alto
7.6,94,5,0,baixo
4.3,64,4,1,alto
4.7,60,2,0,alto
1.5,77,3,1,alto
1.8,76,3,0,alto
9.1,70,3,1,moderado
0.4,88,0,0,alto
2.3,89,1,0,alto
2.9,62,1,1,alto
4.9,89,4,1,alto
5.9,61,0,0,alto
4.9,70,3,0,alto
0.8,51,4,1,alto
2.4,67,5,1,alto
8.4,97,1,0,moderado
6.4,72,0,1,alto
6.5,85,4,0,moderado
6.7,55,0,1,alto
7.6,81,0,0,moderado
0.6,68,5,0,alto
3.7,87,5,0,alto
5.4,96,4,1,moderado
3.4,76,5,1,alto
8.4,55,0,0,alto
4.8,73,0,1,alto
7.7,56,1,1,alto
8.5,72,0,1,alto
5.0,53,5,1,alto
9.1,82,0,0,moderado
5.9,65,3,0,moderado
8.5,60,5,1,alto
3.4,50,4,0,alto
5.0,94,1,0,alto
5.3,91,2,0,moderado
1.0,90,3,1,alto
4.0,52,4,1,alto
9.2,67,2,1,moderado
6.3,98,1,0,moderado
1.8,78,4,0,alto
3.4,56,5,1,alto
1.9,57,2,0,alto
0.2,63,0,1,alto
9.3,98,3,0,baixo
4.5,58,5,0,alto
3.1,95,5,0,alto
6.0,83,2,1,moderado
0.1,96,0,1,alto
2.8,91,3,0,alto
7.0,66,4,1,moderado
6.3,91,5,1,moderado
9.8,58,0,1,alto
6.2,64,1,1,alto
4.8,60,2,0,alto
7.6,56,0,1,alto
9.0,54,5,1,alto
7.2,59,0,0,alto
9.6,56,3,0,alto
7.8,69,5,1,moderado
8.7,53,4,1,alto
1.1,53,4,0,alto
7.3,99,1,0,moderado
4.4,54,4,1,alto
5.5,53,2,0,alto
6.5,51,0,0,alto
9.7,56,2,1,alto
9.8,76,2,1,moderado
2.9,91,3,0,alto
7.3,86,1,0,moderado
7.5,79,2,0,moderado
3.5,54,2,0,alto
1.2,88,1,1,alto
0.4,51,4,0,alto
7.8,81,1,0,moderado
4.9,70,4,0,alto
9.9,94,1,1,alto
4.6,65,5,1,alto
9.8,81,2,1,moderado
4.1,71,0,0,alto
7.9,76,0,1,alto
0.8,96,4,0,alto
5.6,85,5,1,moderado
8.0,70,1,1,alto
9.2,72,3,1,moderado
8.2,85,3,0,baixo
0.4,67,0,1,alto
3.7,58,2,1,alto
0.5,73,4,1,alto
1.1,53,5,0,alto
6.8,58,5,1,alto
7.1,71,0,1,alto
7.7,89,1,0,moderado
8.7,89,2,1,moderado
7.4,63,0,0,alto
8.0,71,3,1,moderado
0.5,57,0,1,alto
2.3,87,0,0,alto
6.2,62,0,0,alto
8.6,89,1,1,alto
0.0,92,4,0,alto
5.1,84,1,0,moderado
6.8,66,5,0,moderado
0.3,97,1,1,alto
4.0,84,0,1,alto
9.0,82,2,1,moderado
6.7,92,4,0,moderado
2.4,94,0,0,alto
8.5,53,0,1,alto
3.5,94,5,1,alto
8.5,88,3,1,baixo
3.0,60,2,1,alto
5.9,65,4,1,moderado
4.0,87,5,0,alto
2.7,60,2,0,alto
8.9,72,3,1,moderado
1.9,84,0,1,alto
0.8,82,1,1,alto
3.4,95,3,1,alto
7.2,55,1,0,alto
8.1,64,5,0,alto
10.0,99,5,1,baixo
3.0,78,1,1,alto
4.1,62,2,0,alto
1.4,64,1,0,alto
5.7,66,3,1,moderado
10.0,77,0,1,alto
7.0,64,2,1,alto
6.0,81,3,0,moderado
3.9,72,3,1,alto
9.2,80,3,1,baixo
5.0,57,1,1,alto
1.3,81,4,1,alto
3.7,96,4,0,alto
0.7,56,4,0,alto
2.0,66,2,0,alto
0.2,84,5,1,alto
4.5,80,2,0,alto
6.3,83,4,0,moderado
3.4,77,1,0,alto
4.2,84,1,1,alto
9.6,80,3,1,baixo
7.5,53,3,1,alto
5.4,87,4,1,moderado
2.8,72,1,0,alto
9.0,52,5,0,alto
2.4,70,1,0,alto
3.3,71,3,1,alto
9.1,54,5,1,alto
5.3,99,3,0,moderado
7.4,61,4,0,alto
5.9,66,5,0,moderado
6.5,72,5,1,moderado
3.0,91,2,0,alto
2.4,87,2,1,alto
3.2,88,1,0,alto
1.6,61,3,1,alto
8.7,92,5,1,baixo
2.8,91,2,0,alto
5.6,73,2,1,moderado
7.9,77,0,1,alto
7.8,51,2,1,alto
4.4,88,1,1,alto
4.8,98,5,0,alto
9.9,73,3,0,moderado
6.7,77,0,1,alto
8.1,74,0,0,moderado
9.0,54,5,0,alto
7.9,80,5,0,baixo
1.9,86,4,0,alto
5.6,96,0,0,moderado
1.0,96,0,0,alto
6.5,74,1,1,alto
9.6,97,4,1,baixo
5.1,76,4,0,moderado
4.3,82,5,0,alto
0.4,80,0,1,alto
9.6,99,0,0,moderado
1.0,86,5,0,alto
0.4,56,5,0,alto
2.5,53,4,0,alto
0.7,70,0,0,alto
4.6,75,0,0,alto
5.2,83,0,1,alto
3.1,74,4,1,alto
0.5,75,5,0,alto
1.1,96,3,1,alto
3.8,66,1,1,alto
0.6,74,4,0,alto
7.0,77,0,0,moderado
2.1,73,4,1,alto
3.0,98,5,0,alto
3.9,98,4,0,alto
4.2,75,5,0,alto
0.0,72,3,0,alto
1.1,79,2,0,alto
8.6,59,1,0,alto
0.0,71,5,0,alto
5.1,60,4,1,alto
4.9,57,1,0,alto
3.3,54,5,1,alto
4.3,79,0,1,alto
7.8,50,3,1,alto
8.4,82,1,1,alto
2.6,71,3,0,alto
3.2,68,2,0,alto
2.4,88,2,0,alto
4.8,76,4,1,alto
6.8,86,4,1,moderado
2.3,85,2,1,alto
3.3,51,5,0,alto
9.3,60,2,0,alto
0.5,78,0,1,alto
4.6,98,0,1,alto
7.1,57,1,1,alto
1.5,55,4,0,alto
0.5,97,3,0,alto
1.4,98,2,0,alto
9.2,58,2,1,alto
0.1,70,5,0,alto
1.9,81,3,1,alto
0.3,59,0,0,alto
1.1,66,0,0,alto
6.2,69,2,0,moderado
2.4,82,2,1,alto
5.7,65,5,1,moderado
5.9,70,3,1,moderado
8.5,64,4,1,alto
0.0,87,3,0,alto
8.5,57,2,0,alto
6.2,61,3,1,alto
1.6,62,3,0,alto
7.7,95,4,0,baixo
8.6,97,1,1,alto
2.5,75,3,1,alto
9.2,57,1,0,alto
4.5,87,4,1,alto
6.0,74,4,1,moderado
9.8,92,3,1,baixo
3.6,67,5,1,alto
8.1,99,3,0,baixo
3.2,90,0,0,alto
8.0,61,3,1,alto
6.0,86,4,0,moderado
2.2,64,0,0,alto
4.1,67,0,1,alto
3.2,62,1,0,alto
0.8,84,5,1,alto
0.3,63,3,0,alto
3.5,81,5,0,alto
0.2,79,5,1,alto
1.7,87,3,1,alto
7.3,99,4,0,baixo
7.1,50,1,0,alto
7.4,99,0,0,moderado
3.2,55,2,0,alto
8.9,76,3,1,baixo
5.9,67,1,0,moderado
1.3,81,1,0,alto
1.4,86,0,0,alto
6.9,92,4,0,moderado
1.7,70,5,1,alto
5.1,96,4,0,moderado
9.9,66,2,1,moderado
0.0,60,3,0,alto
0.2,68,5,0,alto
9.9,76,3,1,baixo
5.8,83,1,0,moderado
1.3,91,2,0,alto
9.0,61,4,0,alto
8.8,65,2,0,moderado
5.4,96,5,1,moderado
6.2,71,5,1,moderado
2.7,62,0,0,alto
0.5,99,4,1,alto
5.9,72,2,1,moderado
2.9,99,3,1,alto
6.6,95,1,0,moderado
8.4,95,2,1,moderado
0.2,79,1,0,alto
6.0,89,0,1,alto
2.3,98,4,1,alto
8.7,63,0,0,alto
2.5,51,2,0,alto
6.1,66,1,1,alto
5.5,81,0,0,moderado
4.0,77,2,1,alto
6.8,54,5,1,alto
7.3,78,5,0,baixo
5.7,58,2,0,alto
7.6,75,3,0,baixo
9.8,78,5,0,baixo
4.2,81,1,0,alto
5.1,70,5,0,moderado
0.1,70,0,1,alto
8.0,83,1,0,moderado
5.2,87,2,1,moderado
4.1,90,0,1,alto
0.9,66,4,1,alto
8.9,71,5,1,moderado
4.0,66,2,0,alto
6.8,76,5,1,moderado
1.5,56,4,0,alto
9.6,71,4,0,moderado
1.8,59,4,0,alto
2.0,76,3,1,alto
8.6,92,0,1,alto
9.1,99,5,1,baixo
2.1,72,3,1,alto
4.7,52,5,0,alto
7.3,61,5,1,alto
8.8,55,1,0,alto
3.8,87,2,1,alto
5.2,99,1,0,moderado
7.4,77,0,1,alto
7.3,58,5,0,alto
7.8,51,5,1,alto
5.7,98,5,0,moderado
1.0,65,5,0,alto
9.0,55,3,1,alto
8.7,58,3,0,alto
8.0,62,5,0,alto
1.0,82,3,0,alto
2.0,94,3,0,alto
7.4,63,1,0,alto
0.2,84,4,1,alto
9.8,53,4,0,alto
3.8,50,4,0,alto
7.2,52,2,0,alto
8.9,96,1,1,alto
3.9,79,0,1,alto
3.2,90,3,0,alto
6.1,51,4,0,alto
5.8,51,4,0,alto
4.1,92,5,1,alto
6.0,55,2,1,alto
9.4,57,4,1,alto
4.7,75,4,0,alto
2.0,80,1,1,alto
3.8,61,5,0,alto
3.9,72,0,1,alto
1.3,83,3,1,alto
1.6,72,5,0,alto
6.8,69,3,1,moderado
3.4,53,5,1,alto
9.5,72,0,0,moderado
2.4,90,3,0,alto
1.0,81,4,0,alto
7.5,94,3,1,baixo
8.8,56,5,0,alto
2.8,50,2,0,alto
2.0,77,4,1,alto
1.9,58,2,0,alto
5.2,79,5,0,moderado
4.7,95,0,1,alto
2.6,66,1,1,alto
0.5,77,0,1,alto
4.8,84,4,0,alto
9.6,57,1,0,alto
6.5,94,1,0,moderado
5.0,60,5,1,alto
1.1,90,2,0,alto
2.5,82,0,0,alto
2.9,57,0,1,alto
7.6,86,1,1,alto
8.8,59,5,1,alto
9.0,79,3,0,baixo
9.8,97,5,1,baixo
9.8,97,1,0,moderado
9.5,93,2,1,moderado
0.7,74,0,0,alto
1.4,77,2,1,alto
3.0,65,3,0,alto
5.5,96,4,1,moderado
1.0,73,2,0,alto
8.5,88,4,1,baixo
6.2,67,3,0,moderado
5.4,87,1,0,moderado
1.7,61,5,0,alto
2.5,86,2,1,alto
1.6,52,0,0,alto
8.5,55,5,0,alto
5.8,67,5,1,moderado
7.4,74,0,0,moderado
3.0,85,5,0,alto
3.7,67,5,1,alto
4.0,50,4,1,alto
7.6,66,1,1,alto
7.7,71,3,1,moderado
2.1,77,3,0,alto
9.4,82,3,0,baixo
1.2,62,3,0,alto
9.0,80,3,1,baixo
1.0,81,3,1,alto
2.6,88,4,0,alto
8.5,76,3,1,baixo
1.8,90,0,0,alto
4.1,61,0,0,alto
4.5,85,5,1,alto
2.5,52,5,1,alto
7.1,55,3,1,alto
8.5,93,1,1,alto
8.7,73,4,1,moderado
3.4,81,0,1,alto
5.3,80,2,0,moderado
2.5,84,1,0,alto
2.4,62,0,1,alto
1.6,58,4,0,alto
9.4,52,3,0,alto
8.9,93,1,0,moderado
7.8,61,3,0,alto
5.2,78,0,1,alto
4.9,72,2,0,alto
5.3,58,3,0,alto
5.4,70,2,1,moderado
4.3,54,4,0,alto
1.3,58,1,0,alto
1.3,56,0,0,alto
9.5,91,3,1,baixo
4.8,78,5,0,alto
9.5,96,2,1,moderado
1.6,71,0,0,alto
5.5,60,5,1,alto
2.1,80,2,0,alto
2.5,96,1,1,alto
0.3,76,3,0,alto
1.2,50,1,1,alto
9.2,65,5,0,moderado
3.2,96,1,0,alto
