media,frequencia,trabalhos_entregues,historico_reprovacao,risco
2.8,99,5,0,alto
2.9,87,4,0,alto
6.6,92,5,0,moderado
5.6,90,5,0,moderado
7.8,97,0,1,alto
6.6,55,1,1,alto
4.1,94,4,1,alto
8.1,53,3,1,alto
1.7,73,0,1,alto
0.2,79,0,1,alto
0.9,67,3,0,alto
7.2,57,3,1,alto
4.6,59,1,0,alto
1.6,91,1,0,alto
5.0,65,0,1,alto
1.5,65,3,1,alto
7.0,96,0,0,moderado
4.5,57,3,0,alto
3.8,95,2,0,alto
3.0,96,2,0,alto
6.3,79,4,0,moderado
3.6,58,3,1,alto
0.9,57,4,1,alto
1.2,64,4,1,alto
9.6,78,5,1,baixo
9.1,57,4,1,alto
7.0,72,3,1,moderado
2.7,55,2,0,alto
9.7,77,1,0,moderado
7.8,51,3,1,alto
7.2,85,0,0,moderado
4.5,52,5,0,alto
2.7,59,5,0,alto
1.0,58,0,1,alto
9.0,91,4,0,baixo
4.6,52,0,1,alto
2.0,71,4,0,alto
3.1,79,0,0,alto
5.8,75,2,0,moderado
1.8,84,3,0,alto
8.6,90,4,1,baixo
7.6,69,2,0,moderado
7.2,91,5,0,baixo
4.3,65,4,1,alto
6.3,99,1,1,alto
5.8,75,4,0,moderado
6.5,86,4,1,moderado
0.8,93,2,1,alto
4.2,89,4,0,alto
0.4,92,5,1,alto
4.9,76,4,1,alto
3.3,52,4,1,alto
1.4,74,3,0,alto
1.0,59,1,0,alto
5.9,94,4,0,moderado
1.7,61,2,1,alto
9.3,61,3,1,alto
5.8,62,1,0,alto
3.5,82,1,0,alto
5.9,78,0,1,alto
0.2,97,5,1,alto
9.6,70,0,1,alto
4.8,64,0,0,alto
7.8,52,5,1,alto
0.8,50,3,0,alto
4.9,68,2,1,alto
4.9,96,4,0,alto
9.4,76,2,0,moderado
5.7,94,0,0,moderado
4.7,55,4,1,alto
2.7,54,1,1,alto
3.3,91,3,0,alto
5.2,55,5,1,alto
4.4,52,5,0,alto
0.2,70,2,0,alto
8.3,96,4,0,baixo
9.0,84,3,1,baixo
1.4,54,2,0,alto
5.5,91,0,1,alto
1.1,92,2,0,alto
6.7,90,3,0,moderado
2.8,95,5,0,alto
6.6,61,0,1,alto
7.3,98,4,0,baixo
7.7,66,5,1,moderado
1.1,90,5,1,alto
9.2,78,2,0,moderado
2.3,88,0,1,alto
0.4,81,1,1,alto
5.5,82,5,0,moderado
3.7,80,5,0,alto
8.3,88,3,0,baixo
8.1,86,0,1,alto
3.2,56,0,0,alto
9.5,91,2,1,moderado
2.9,76,3,1,alto
5.2,66,0,1,alto
2.6,75,4,0,alto
9.4,98,3,1,baixo
1.6,92,0,0,alto
0.4,91,0,0,alto
4.4,73,2,0,alto
9.9,89,4,0,baixo
8.9,69,4,0,moderado
7.5,84,2,0,moderado
8.9,81,1,0,moderado
8.9,62,5,0,alto
5.2,63,2,1,alto
3.2,53,1,0,alto
7.7,56,2,1,alto
6.6,71,0,1,alto
3.7,73,1,1,alto
0.9,58,3,1,alto
7.5,70,5,1,moderado
2.6,80,4,1,alto
9.4,61,4,1,alto
2.4,66,3,1,alto
1.2,68,0,0,alto
8.3,75,2,0,moderado
1.5,68,5,1,alto
1.8,86,0,0,alto
6.0,66,5,1,moderado
8.7,71,4,0,moderado
2.0,68,1,0,alto
3.1,59,4,1,alto
7.8,84,5,1,baixo
9.7,61,0,1,alto
5.0,64,0,0,alto
1.4,89,3,1,alto
0.1,97,5,1,alto
2.3,83,0,1,alto
1.3,95,3,1,alto
6.8,92,0,1,alto
1.2,74,3,1,alto
5.1,88,3,0,moderado
6.9,66,0,1,alto
5.8,73,4,1,moderado
2.0,76,5,1,alto
8.0,98,5,1,baixo
7.2,92,0,1,alto
7.4,74,1,0,moderado
1.3,82,1,1,alto
1.2,60,2,0,alto
9.3,90,0,0,moderado
4.0,77,5,1,alto
3.0,76,4,1,alto
4.9,88,4,0,alto
6.6,81,1,0,moderado
9.6,53,0,0,alto
2.9,64,5,0,alto
9.2,58,1,0,alto
0.2,86,3,0,alto
5.6,51,5,1,alto
6.3,60,0,1,alto
1.1,79,0,1,alto
1.4,84,0,0,alto
4.2,75,0,0,alto
9.7,93,0,0,moderado
6.0,95,4,1,moderado
9.3,56,3,0,alto
8.0,97,5,0,baixo
4.7,80,4,0,alto
7.8,81,5,1,baixo
0.2,54,1,0,alto
1.1,81,1,0,alto
8.3,86,5,1,baixo
8.0,79,1,1,alto
2.3,54,0,0,alto
5.3,76,4,0,moderado
6.1,96,4,1,moderado
8.7,86,5,1,baixo
6.0,56,5,1,alto
4.1,97,0,0,alto
3.7,97,4,0,alto
4.3,58,5,1,alto
6.5,90,4,0,moderado
8.7,70,4,0,moderado
4.5,79,5,1,alto
2.5,72,2,1,alto
2.4,89,0,0,alto
