media,frequencia,trabalhos_entregues,historico_reprovacao,risco
7.7,96,2,0,moderado
4.4,87,4,1,alto
8.6,68,5,1,moderado
7.0,98,2,0,moderado
0.9,70,5,1,alto
9.8,66,1,1,alto
7.6,95,1,0,moderado
7.9,68,4,1,moderado
1.3,53,3,1,alto
4.5,73,0,1,alto
3.7,89,4,1,alto
9.3,59,1,1,alto
6.4,73,4,0,moderado
8.2,56,0,1,alto
4.4,84,4,1,alto
2.3,73,4,0,alto
5.5,66,4,1,moderado
0.6,61,3,0,alto
8.3,78,2,0,moderado
6.3,83,4,0,moderado
7.6,97,1,1,alto
3.5,71,4,0,alto
9.7,58,3,0,alto
8.9,91,2,0,moderado
7.8,81,3,1,baixo
1.9,85,3,1,alto
4.7,54,0,0,alto
0.4,65,0,0,alto
1.5,88,1,1,alto
6.8,91,0,0,moderado
